"id","shopName","category","ownerName","rating","reviews","phone","email","socials","address","openingHours","website","mapsUrl","siteStatus","opportunity","techStack","searchQuery","status","notes","createdAt"
1788285340862,"Makki Madni Cloth House","Clothing store","Makki Madni","3.9","561","N/A","None","{""instagram"":"""",""facebook"":"""",""linkedin"":"""",""twitter"":"""",""whatsapp"":""""}",", ph.1, Address:Plot No:9/10 Main Commercial, Karachi, Gulshan-e-Hadeed Gulshan e Hadeed Phase 2 Market, Karachi, Pakistan","Not Specified","None","https://www.google.com/maps/place/Makki+Madni+Cloth+House/@24.8978558,67.2114818,12z/data=!4m10!1m2!2m1!1sCloth+Housing+in+Gulshan+e+hadeed!3m6!1s0x3eb33319d7055d85:0xf57e09869e4dc5ed!8m2!3d24.8678728!4d67.3604537!15sCiFDbG90aCBIb3VzaW5nIGluIEd1bHNoYW4gZSBoYWRlZWRaIyIhY2xvdGggaG91c2luZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEOY2xvdGhpbmdfc3RvcmWaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRXYVZneWRHOU5TR2QzV2xob2NtSkZNWHBVU0U1MFUxWktVRlV5WXhBQuABAPoBBAgAECg!16s%2Fg%2F1hd_gtp9m?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","Missing","High Priority: Pitch Web Development & Brand Presence","None","Cloth Housing in Gulshan e hadeed","New","","2026-09-01T17:55:40.862Z"
1788285342536,"AL ASR COLLECTION","Clothing store","Not Listed","5.0","3","+92 332 2148180","None","{""instagram"":"""",""facebook"":"""",""linkedin"":"""",""twitter"":"""",""whatsapp"":""""}",", A-2256, Phase 2 Gulshan e Hadeed Phase 2 Bin Qasim Town, Karachi, 75010, Pakistan","Not Specified","None","https://www.google.com/maps/place/AL+ASR+COLLECTION/@24.8978558,67.2114818,12z/data=!4m10!1m2!2m1!1sCloth+Housing+in+Gulshan+e+hadeed!3m6!1s0x3eb333d70ba443ef:0x6ac87e41e0702bff!8m2!3d24.8740242!4d67.3633552!15sCiFDbG90aCBIb3VzaW5nIGluIEd1bHNoYW4gZSBoYWRlZWRaIyIhY2xvdGggaG91c2luZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEOY2xvdGhpbmdfc3RvcmXgAQA!16s%2Fg%2F11nwctbtgg?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","Missing","High Priority: Pitch Web Development & Brand Presence","None","Cloth Housing in Gulshan e hadeed","New","","2026-09-01T17:55:42.535Z"
1788285344143,"Gulshan-e-Hadeed Phase-I","Apartment building","Not Listed","5.0","7","N/A","None","{""instagram"":"""",""facebook"":"""",""linkedin"":"""",""twitter"":"""",""whatsapp"":""""}",", V997+CHJ, Gulshan-e-Hadeed Gulshan e Hadeed Phase 2 Bin Qasim Town, Karachi, Pakistan","Not Specified","None","https://www.google.com/maps/place/Gulshan-e-Hadeed+Phase-I/@24.8978558,67.2114818,12z/data=!4m10!1m2!2m1!1sCloth+Housing+in+Gulshan+e+hadeed!3m6!1s0x3eb3330061c94145:0xdfe1d23cc2d6d448!8m2!3d24.8685882!4d67.3638777!15sCiFDbG90aCBIb3VzaW5nIGluIEd1bHNoYW4gZSBoYWRlZWRaIyIhY2xvdGggaG91c2luZyBpbiBndWxzaGFuIGUgaGFkZWVkkgESYXBhcnRtZW50X2J1aWxkaW5nmgEjQ2haRFNVaE5NRzluUzBWT2FTMDNZbGhYTWs5bFoyVlJFQUXgAQD6AQQIABA3!16s%2Fg%2F11y295hw8_?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","Missing","High Priority: Pitch Web Development & Brand Presence","None","Cloth Housing in Gulshan e hadeed","New","","2026-09-01T17:55:44.141Z"
1788285346611,"H&S Apparel","Clothing store","Not Listed","4.2","2637","+92 300 9227425","None","{""instagram"":"""",""facebook"":"""",""linkedin"":"""",""twitter"":"""",""whatsapp"":""""}",", FL3, First Floor, Block 3 Gulshan-e-Iqbal, Karachi, 75300, Pakistan","Not Specified","http://www.hnsapparel.com/","https://www.google.com/maps/place/H%26S+Apparel/@24.8978558,67.2114818,12z/data=!4m10!1m2!2m1!1sCloth+Housing+in+Gulshan+e+hadeed!3m6!1s0x3eb339ed0e544959:0xd05e74ab3f43d458!8m2!3d24.9278388!4d67.0956952!15sCiFDbG90aCBIb3VzaW5nIGluIEd1bHNoYW4gZSBoYWRlZWRaIyIhY2xvdGggaG91c2luZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEOY2xvdGhpbmdfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblRVUm5hRWxoUzB0M0VBReABAPoBBAgmEDs!16s%2Fg%2F11h7_tk1x8?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","Inaccessible/Broken","Pitch Site Repair & Cloud Hosting Migration","Unknown","Cloth Housing in Gulshan e hadeed","New","","2026-09-01T17:55:46.608Z"
1788285348150,"PAK DUBAI CURTAIN'S","Curtain supplier and maker","Not Listed","4.9","51","+92 330 3257586","None","{""instagram"":"""",""facebook"":"""",""linkedin"":"""",""twitter"":"""",""whatsapp"":""""}",", Shop C-6, Hassan extension apartment, Block 13 A Gulshan-e-Iqbal, Karachi, 75300, Pakistan","Not Specified","None","https://www.google.com/maps/place/PAK+DUBAI+CURTAIN'S/@24.9278388,66.9514996,12z/data=!4m10!1m2!2m1!1sCloth+Housing+in+Gulshan+e+hadeed!3m6!1s0x3eb33fc50481994b:0x25613bb0945035b!8m2!3d24.9025072!4d67.071062!15sCiFDbG90aCBIb3VzaW5nIGluIEd1bHNoYW4gZSBoYWRlZWRaIyIhY2xvdGggaG91c2luZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEaY3VydGFpbl9zdXBwbGllcl9hbmRfbWFrZXKaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRGZWxwSWNIVlJla0V6VkZaT2NWWnVUbWxpYlhSTFQwUlplbEpWUlJBQuABAPoBBAgQEEg!16s%2Fg%2F11mzc7y444?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","Missing","High Priority: Pitch Web Development & Brand Presence","None","Cloth Housing in Gulshan e hadeed","New","","2026-09-01T17:55:48.146Z"
1788285349708,"Own Heights","Shopping mall","Own Heights","3.6","449","+92 333 2356540","None","{""instagram"":"""",""facebook"":"""",""linkedin"":"""",""twitter"":"""",""whatsapp"":""""}",", e, iqbal, Own Heights, Block 13 D 3 Gulshan-e-Iqbal, Karachi, 73500, Pakistan","Not Specified","None","https://www.google.com/maps/place/Own+Heights/@24.9278388,66.9514996,12z/data=!4m10!1m2!2m1!1sCloth+Housing+in+Gulshan+e+hadeed!3m6!1s0x3eb33f1f17eb6ca5:0x445f1df9f998c5bb!8m2!3d24.9048168!4d67.0681304!15sCiFDbG90aCBIb3VzaW5nIGluIEd1bHNoYW4gZSBoYWRlZWRaIyIhY2xvdGggaG91c2luZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEPc2hvcHBpbmdfY2VudGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5TYnpaWVYyMVJSUkFC4AEA-gEECAAQRA!16s%2Fg%2F11bwfkyvg2?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","Missing","High Priority: Pitch Web Development & Brand Presence","None","Cloth Housing in Gulshan e hadeed","New","","2026-09-01T17:55:49.703Z"
1788285352761,"Andaaz Studio","Women's clothing store","Andaaz Studio","N/A","0","N/A","None","{""instagram"":"""",""facebook"":"""",""linkedin"":"""",""twitter"":"""",""whatsapp"":""""}",", C-106, Al-Aman Apartments, 305 B Karachi, Block 14 Gulshan-e-Iqbal, Karachi, Pakistan","Not Specified","None","https://www.google.com/maps/place/Andaaz+Studio/@24.9278388,66.9514996,12z/data=!4m10!1m2!2m1!1sCloth+Housing+in+Gulshan+e+hadeed!3m6!1s0x3eb33f34e09a3169:0xfe068a85b145ebe8!8m2!3d24.8947938!4d67.0724766!15sCiFDbG90aCBIb3VzaW5nIGluIEd1bHNoYW4gZSBoYWRlZWSSARV3b21lbnNfY2xvdGhpbmdfc3RvcmXgAQA!16s%2Fg%2F11yymwtls4?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","Missing","High Priority: Pitch Web Development & Brand Presence","None","Cloth Housing in Gulshan e hadeed","New","","2026-09-01T17:55:52.755Z"
1788285354726,"Chicweave","Clothing store","Not Listed","N/A","0","+92 334 3721864","None","{""instagram"":"""",""facebook"":"""",""linkedin"":"""",""twitter"":"""",""whatsapp"":""""}",", Shop. G-1, Plot C17, Central Govrnment Housing Society, Gulshan Block 10A 1, Block 2 Gulshan-e-Iqbal, Karachi, 75300, Pakistan","Not Specified","https://www.chicweave.com/","https://www.google.com/maps/place/Chicweave/@24.9278388,66.9514996,12z/data=!4m10!1m2!2m1!1sCloth+Housing+in+Gulshan+e+hadeed!3m6!1s0x3eb3416578eb2e45:0x1afa25deab282f68!8m2!3d24.9267307!4d67.0885671!15sCiFDbG90aCBIb3VzaW5nIGluIEd1bHNoYW4gZSBoYWRlZWSSAQ5jbG90aGluZ19zdG9yZeABAA!16s%2Fg%2F11ywcm025f?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","Inaccessible/Broken","Pitch Site Repair & Cloud Hosting Migration","Unknown","Cloth Housing in Gulshan e hadeed","New","","2026-09-01T17:55:54.719Z"
1788285356978,"Tanzeenat","Clothing store","Not Listed","4.3","17","+92 300 2253064","None","{""instagram"":"""",""facebook"":"""",""linkedin"":"""",""twitter"":"""",""whatsapp"":""""}",", shop #s 12, Life plus styles Boutique now moved new location, Yasir Apartments, Block 16 Gulshan-e-Iqbal, Karachi, 74600, Pakistan","Not Specified","http://www.tanzeenat.com/","https://www.google.com/maps/place/Tanzeenat/@24.9278388,66.9514996,12z/data=!4m10!1m2!2m1!1sCloth+Housing+in+Gulshan+e+hadeed!3m6!1s0x3eb33f1143de6ddd:0xccf108127678788a!8m2!3d24.9054814!4d67.0819018!15sCiFDbG90aCBIb3VzaW5nIGluIEd1bHNoYW4gZSBoYWRlZWRaIyIhY2xvdGggaG91c2luZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEOY2xvdGhpbmdfc3RvcmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkVPRkJpZDNkblJSQULgAQD6AQQIABAW!16s%2Fg%2F11fnnsk30j?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","Insecure (HTTP)","Pitch SSL Security & Mobile Speed Upgrade","Custom Web App","Cloth Housing in Gulshan e hadeed","New","","2026-09-01T17:55:56.970Z"
1788285358655,"Mashriq Center","Shopping mall","Not Listed","4.0","4553","+92 330 0249402","None","{""instagram"":"""",""facebook"":"""",""linkedin"":"""",""twitter"":"""",""whatsapp"":""""}",", Block 14 Gulshan-e-Iqbal, Karachi, 75300, Pakistan","Not Specified","None","https://www.google.com/maps/place/Mashriq+Center/@24.9278388,66.9514996,12z/data=!4m10!1m2!2m1!1sCloth+Housing+in+Gulshan+e+hadeed!3m6!1s0x3eb33ed944ab48c9:0xc89625d8cdf28b0c!8m2!3d24.8974375!4d67.0774375!15sCiFDbG90aCBIb3VzaW5nIGluIEd1bHNoYW4gZSBoYWRlZWRaIyIhY2xvdGggaG91c2luZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEPc2hvcHBpbmdfY2VudGVymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ3ZVhCcWVWaEJFQUXgAQD6AQQIPRAs!16s%2Fg%2F11gsmh1b3h?entry=ttu&g_ep=EgoyMDI2MDgzMC4wIKXMDSoASAFQAw%3D%3D","Missing","High Priority: Pitch Web Development & Brand Presence","None","Cloth Housing in Gulshan e hadeed","New","","2026-09-01T17:55:58.646Z"
